"","X1","X2","Keywords","keywords_clean"
"90","C54","Quantitative Policy Modeling","Monetary Policy, Quantitative Policy, Sticky Prices. ","monetary policy quantitative policy sticky prices "
"91","C55","Large Data Sets: Modeling and Analysis","Big data, Large Data Sets. ","big data large data sets "
"92","C57","Econometrics of Games and Auctions","Auction Model, Auction Modeling, Game Theoretic Model, Game Theoretic Modeling. ","auction model auction modeling game theoretic model game theoretic modeling "
"93","C58","Financial Econometrics","Actuarial Methods, Financial Econometrics, Financial Markets Modeling, GARCH, High-Frequency, Microstructure, Noise, Stock, Time Series, Volatility Forecasting, Volatility Models. ","actuarial methods financial econometrics financial markets modeling garch highfrequency microstructure noise stock time series volatility forecasting volatility models "
"94","C59","Econometric Modeling: Other","Modelling, Replication. ","modelling replication "
"95","C60","Mathematical Methods; Programming Models; Mathematical and Simulation Modeling: General","Approximations, Complex, Mathematical Methods. ","approximations complex mathematical methods "
"96","C61","Optimization Techniques; Programming Models; Dynamic Analysis","Bellman Equation, Blackwell's Sufficient Conditions, Calculus of Variations, Chaos Theory, Control Theory, Dynamic Programming, Dynamics, Hamiltonian, Hysteresis, Integer Programming, Kuhn Tucker, Linear Programming, Mathematical Programming, Nonlinear Programming, Optimal Control, Optimisation, Optimization, Programming, Riccati Equation. ","bellman equation blackwells sufficient conditions calculus variations chaos theory control theory dynamic programming dynamics hamiltonian hysteresis integer programming kuhn tucker linear programming mathematical programming nonlinear programming optimal control optimisation optimization programming riccati equation "
"97","C62","Existence and Stability Conditions of Equilibrium","Approximate Equilibrium, Disequilibrium, Equilibrium Conditions, Existence, Stability Conditions, Uniqueness. ","approximate equilibrium disequilibrium equilibrium conditions existence stability conditions uniqueness "
"98","C63","Computational Techniques; Simulation Modeling","Agent-Based Modeling, Computational Techniques, Genetic Algorithms, Simulation Modeling, Stochastic Processes. ","agentbased modeling computational techniques genetic algorithms simulation modeling stochastic processes "
"99","C65","Miscellaneous Mathematical Tools","Calculus, Differential Equations, Mathematical, Matrix Theory. ","calculus differential equations mathematical matrix theory "
"100","C67","Input-Output Models","I O, Input Output. "," o input output "
"101","C68","Computable General Equilibrium Models","CGE, Computable General Equilibrium. ","cge computable general equilibrium "
"102","C69","Mathematical Methods; Programming Models; Mathematical and Simulation Modeling: Other","Order Dynamics. ","order dynamics "
"103","C70","Game Theory and Bargaining Theory: General","Auction Theory, Bargaining Theory, Behavioral Game Theory, Experimental, Game Theory, Information Acquisition, Strategic. ","auction theory bargaining theory behavioral game theory experimental game theory information acquisition strategic "
"104","C71","Cooperative Games","Aumann Shapley, Coalitional Games, Coalitions, Cooperation, Cooperative Games, Reciprocity, Shapley Value, Transferable Utility Games. ","aumann shapley coalitional games coalitions cooperation cooperative games reciprocity shapley value transferable utility games "
"105","C72","Noncooperative Games"," Dictator Game, Battle of the Sexes, Contests, Cournot Nash, Information Acquisition, Keynesian Beauty Contest, Matching Pennies, Nash Bargaining, Nash Equilibrium, Nash Implementation, Noncooperative, Noncooperative Game, Payoff Function, Prisoner's Dilemma, Public Goods Game, Search Games, Strategic Game, Zero Sum. "," dictator game battle sexes contests cournot nash information acquisition keynesian beauty contest matching pennies nash bargaining nash equilibrium nash implementation noncooperative noncooperative game payoff function prisoners dilemma public goods game search games strategic game zero sum "
"106","C73","Stochastic and Dynamic Games; Evolutionary Games; Repeated Games","Bayesian Game, Correlated Equilibrium, Dynamic Games, Evolutionary Games, Evolutionary Models, Extensive Form Game, Renegotiation, Repeated Games, Repeated Prisoner's Dilemmas, Screening Game, Signaling Game, Stochastic Games. ","bayesian game correlated equilibrium dynamic games evolutionary games evolutionary models extensive form game renegotiation repeated games repeated prisoners dilemmas screening game signaling game stochastic games "
"107","C78","Bargaining Theory; Matching Theory","Agenda Setting, Assignment Problems, Bargaining, Contracting, Deal Or No Deal, Information Acquisition, Matching, Matching Theory, Middlemen, Nash Bargaining, Negotiating, Negotiation, Random Matching, Renegotiation, Search Matching, Sequential Bargaining, Two Sided, Two Sided Matching, Ultimatum Game. ","agenda setting assignment problems bargaining contracting deal deal information acquisition matching matching theory middlemen nash bargaining negotiating negotiation random matching renegotiation search matching sequential bargaining two sided two sided matching ultimatum game "
"108","C79","Game Theory and Bargaining Theory: Other","Bargaining Theory, Game Theory. ","bargaining theory game theory "
"109","C80","Data Collection and Data Estimation Methodology; Computer Programs: General","Census, Data, Indicators, Statistical. ","census data indicators statistical "
"110","C81","Methodology for Collecting, Estimating, and Organizing Microeconomic Data; Data Access","Data Access, Household Data, Household Survey, Individual Response, Microdata, Microeconometric, Microeconomic Data, Microeconomics. ","data access household data household survey individual response microdata microeconometric microeconomic data microeconomics "
"111","C82","Methodology for Collecting, Estimating, and Organizing Macroeconomic Data; Data Access","Cost of Living, Data Access, Economic Indicator, Macrodata, Macroeconometric, Macroeconomic Data, Macroeconomics, National Income Accounting, Price Index. ","cost living data access economic indicator macrodata macroeconometric macroeconomic data macroeconomics national income accounting price index "
"112","C83","Survey Methods; Sampling Methods","Cross Sectional Survey, Household Data, Interviewer Effect, Nonresponse, Probability Sample, Survey Error. ","cross sectional survey household data interviewer effect nonresponse probability sample survey error "
"113","C87","Econometric Software","Computer Programs, Econometric Software, SAS, SHAZAM, Software, Stata, TSP. ","computer programs econometric software sas shazam software stata tsp "
"114","C88","Data Collection and Data Estimation Methodology; Computer Programs: Other Computer Software","Computer Programs, Fortran, MATLAB, Software. ","computer programs fortran matlab software "
"115","C89","Data Collection and Data Estimation Methodology; Computer Programs: Other","Computing, Data, Statistical. ","computing data statistical "
"116","C90","Design of Experiments: General","Experimental Design, Laboratory, Methods, Participant Observation, Randomized Assignment. ","experimental design laboratory methods participant observation randomized assignment "
"117","C91","Design of Experiments: Laboratory, Individual","Individual Behavior, Laboratory Experiments. ","individual behavior laboratory experiments "
"118","C92","Design of Experiments: Laboratory, Group Behavior","Group Behavior, Herding, Laboratory Experiments, Peer Effects. ","group behavior herding laboratory experiments peer effects "
"119","C93","Field Experiments","Field Experiment, Social Experiment. ","field experiment social experiment "
"120","C99","Design of Experiments: Other","Behavioral, Experiment, Experimental, Investigate. ","behavioral experiment experimental investigate "
"121","D00","Microeconomics: General","Microeconomics, State of Microeconomics. ","microeconomics state microeconomics "
"122","D01","Microeconomic Behavior: Underlying Principles","Bounded rationality, Choices, Microeconomic Behavior, Preference , Rational Choice, Rationality. ","bounded rationality choices microeconomic behavior preference rational choice rationality "
"123","D02","Institutions: Design, Formation, Operations, and Impact","Institutional Design, Institutions, Microeconomic Institutions. ","institutional design institutions microeconomic institutions "
"124","D04","Microeconomic Policy: Formulation, Implementation, and Evaluation","Applied Microeconomics, Microeconomic Policy, Policy Analysis, Policy Evaluation, Policy Formation, Policy Implementation. ","applied microeconomics microeconomic policy policy analysis policy evaluation policy formation policy implementation "
"125","D10","Household Behavior: General","Consumer, Consumption, Household. ","consumer consumption household "
"126","D11","Consumer Economics: Theory","Compensating Variation, Constant Relative Risk Aversion, Consumer Surplus, Demand Curve, Expected Utility, Gorman Polar, Habit Formation, Households, Indifference, Indifference Curve, Intertemporal Elasticity of Substitution, Kinked Demand Curve, Lexicographic, Marginal Utility, Preference, Preference Structure, Preference Theory, Relative Income Hypothesis, Revealed Preference, Taste, Utility, Utility Function. ","compensating variation constant relative risk aversion consumer surplus demand curve expected utility gorman polar habit formation households indifference indifference curve intertemporal elasticity substitution kinked demand curve lexicographic marginal utility preference preference structure preference theory relative income hypothesis revealed preference taste utility utility function "
"127","D12","Consumer Economics: Empirical Analysis","Brand Preference, Budget, Consumer Debt, Consumer Sentiment, Consumer Surplus, Dissaving, Elasticity, Elasticity of Demand, Expenditure, Food Consumption, Household Economics, Household Equivalence Scale, Households, Income Effect, Individual, Leisure, Liquidity Constraints, Luxury Good, Partial Adjustment Model, Precautionary Savings, Preference, Propensity to Save, Substitution Effect, Taste, Wants, Willingness to Pay. ","brand preference budget consumer debt consumer sentiment consumer surplus dissaving elasticity elasticity demand expenditure food consumption household economics household equivalence scale households income effect individual leisure liquidity constraints luxury good partial adjustment model precautionary savings preference propensity save substitution effect taste wants willingness pay "
"128","D13","Household Production and Intrahousehold Allocation","Division of Labor, Homemaker, Household Economics, Household Production, Households, Housework, Labor-Leisure, Leisure, Nonmarket Production. ","division labor homemaker household economics household production households housework laborleisure leisure nonmarket production "
"129","D14","Household Saving; Personal Finance","Bequests, Financial Planning, Household Assets, Individual Investor, Personal Bankruptcy, Personal Finance, Personal Savings, Retirement Account. ","bequests financial planning household assets individual investor personal bankruptcy personal finance personal savings retirement account "
